ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01107,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01108,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01109,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01111,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01115,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01116,44140,LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01118,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01119,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01128,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01129,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01138,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01139,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01144,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01151,44140,INDIAN ORCHARD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01152,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01199,44140,SPRINGFIELD,MA,0.000000000,1.000000000,0.000000000,1.000000000
01201,38340,PITTSFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01202,38340,PITTSFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01220,38340,ADAMS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01222,38340,ASHLEY FALLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01223,38340,BECKET,MA,0.998673740,1.000000000,1.000000000,0.998700455
01223,44140,BECKET,MA,0.001326260,0.000000000,0.000000000,0.001299545
01224,38340,BERKSHIRE,MA,1.000000000,0.000000000,1.000000000,1.000000000
01225,38340,CHESHIRE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01226,38340,DALTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01227,38340,DALTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01229,38340,GLENDALE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01230,38340,GREAT BARRINGTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01235,38340,HINSDALE,MA,0.958801498,0.978723404,1.000000000,0.964342314
01235,44140,HINSDALE,MA,0.041198502,0.021276596,0.000000000,0.035657686
01236,38340,HOUSATONIC,MA,1.000000000,1.000000000,1.000000000,1.000000000
01237,38340,LANESBOROUGH,MA,1.000000000,1.000000000,1.000000000,1.000000000
01238,38340,LEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01240,38340,LENOX,MA,1.000000000,1.000000000,1.000000000,1.000000000
01242,38340,LENOX DALE,MA,0.000000000,0.000000000,1.000000000,1.000000000
01243,44140,MIDDLEFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01244,38340,MILL RIVER,MA,0.000000000,1.000000000,1.000000000,1.000000000
01245,38340,MONTEREY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01247,38340,NORTH ADAMS,MA,0.995703545,1.000000000,1.000000000,0.996327580
01247,44140,NORTH ADAMS,MA,0.004296455,0.000000000,0.000000000,0.003672420
01252,38340,NORTH EGREMONT,MA,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,OTIS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,RICHMOND,MA,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,SANDISFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01256,38340,SAVOY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,SHEFFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
