Do you live in the Midwest or the South?,"Do you live in the Midwest, the Great Plains, or the West?","Do you live in the Midwest, Appalachia, or the South?",What is your party affiliation/registration?,What is your age range?,"For statistical purposes only, can you please tell me your ethnicity?",What is the highest level of education you have attained?,Can you please tell me your gender?,ZIP,ZIP3,STATE,weights
#NULL!,2,#NULL!,4,5,5,3,1,57623,576,4,1.17
#NULL!,2,#NULL!,4,5,1,4,2,57703,577,4,1.28
#NULL!,1,#NULL!,4,5,2,2,1,57301,573,4,1.54
#NULL!,1,#NULL!,4,5,2,4,1,57532,575,4,1.78
#NULL!,1,#NULL!,4,5,2,3,2,57106,571,4,1.74
#NULL!,1,#NULL!,4,5,2,3,2,57276,572,4,1.74
#NULL!,1,#NULL!,4,5,2,5,1,57004,570,4,2.09
#NULL!,1,#NULL!,4,5,2,5,1,57702,577,4,2.09
#NULL!,1,#NULL!,4,5,2,5,1,57730,577,4,2.09
#NULL!,2,#NULL!,4,5,5,3,1,57312,573,4,2.19
#NULL!,1,#NULL!,4,5,2,3,1,57430,574,4,2.30
#NULL!,1,#NULL!,4,4,5,2,2,57262,572,4,0.44
#NULL!,1,#NULL!,4,4,2,1,2,57106,571,4,0.48
#NULL!,1,#NULL!,4,4,2,2,2,57069,570,4,0.53
#NULL!,1,#NULL!,4,4,5,1,2,57106,571,4,0.58
#NULL!,1,#NULL!,4,4,2,1,2,57038,570,4,0.60
#NULL!,1,#NULL!,4,4,2,1,2,57078,570,4,0.60
#NULL!,1,#NULL!,4,4,2,1,2,57103,571,4,0.60
#NULL!,1,#NULL!,4,4,2,1,2,57104,571,4,0.60
#NULL!,1,#NULL!,4,4,2,1,2,57106,571,4,0.60
#NULL!,1,#NULL!,4,4,2,5,2,57042,570,4,0.62
#NULL!,1,#NULL!,4,4,2,4,3,57501,575,4,0.83
#NULL!,1,#NULL!,4,4,2,4,2,57006,570,4,0.61
#NULL!,2,#NULL!,4,4,2,4,2,57069,570,4,0.61
#NULL!,1,#NULL!,4,4,2,4,2,57260,572,4,0.61
#NULL!,1,#NULL!,4,4,2,4,2,57401,574,4,0.61
#NULL!,1,#NULL!,4,4,2,4,2,57702,577,4,0.61
#NULL!,1,#NULL!,4,4,2,3,2,57049,570,4,0.68
#NULL!,2,#NULL!,4,4,2,3,2,57261,572,4,0.68
#NULL!,2,#NULL!,4,4,2,3,2,57701,577,4,0.68
#NULL!,1,#NULL!,4,4,2,3,2,57702,577,4,0.68
#NULL!,1,#NULL!,4,4,2,3,2,57718,577,4,0.68
